time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,rollout/ep_rew_mean,train/loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/entropy_loss
12,6144,29,205,614.25,110,0.2,1363.4571914672852,2.6426278e-08,-7.902795914560556e-06,1342.625,641.6466064453125,0.0,0.00011730194091796875,1e-06,-1.9459085926413535
13,6656,30,221,737.7777777777778,120,0.2,14.564842534065246,2.4808105e-07,-6.439520220737904e-05,1385.888888888889,7.037644386291504,0.0,2.5093555450439453e-05,1e-06,-1.9459085240960121
14,7168,30,236,737.7777777777778,130,0.2,1848.0591423034668,1.5483238e-08,-6.819987902417779e-06,1385.888888888889,658.0177612304688,0.0,-4.088878631591797e-05,1e-06,-1.945908011496067
15,7680,30,252,692.9090909090909,140,0.2,1807.4972206115722,1.3620593e-08,-1.3205705909058451e-05,1338.909090909091,862.9067993164062,0.0,6.818771362304688e-05,1e-06,-1.945907723903656
16,8192,30,268,692.9090909090909,150,0.2,5466.2488464355465,0.0,-3.648811252787709e-06,1338.909090909091,2526.676025390625,0.0,-3.600120544433594e-05,1e-06,-1.9459075391292573
17,8704,30,286,692.9090909090909,160,0.2,2239.1215118408204,9.080395e-09,-4.513008752837777e-06,1338.909090909091,839.6741943359375,0.0,-2.765655517578125e-05,1e-06,-1.9459073692560196
18,9216,30,303,743.3333333333334,170,0.2,213.9303406715393,3.7893187e-07,-5.884384736418724e-05,1387.1666666666667,100.87010192871094,0.0,2.3066997528076172e-05,1e-06,-1.945906874537468
19,9728,30,320,743.3333333333334,180,0.2,3229.3741256713865,0.0,-2.1322863176465035e-06,1387.1666666666667,1538.2415771484375,0.0,3.427267074584961e-05,1e-06,-1.945905838906765
20,10240,30,338,743.3333333333334,190,0.2,60.47129871845245,1.0011718e-08,-8.298346074298024e-06,1387.1666666666667,52.537109375,0.0,5.7220458984375e-06,1e-06,-1.9459057375788689
21,10752,30,356,743.3333333333334,200,0.2,31.281732201576233,9.662472e-09,-4.528899444267153e-06,1387.1666666666667,20.433536529541016,0.0,4.291534423828125e-06,1e-06,-1.9459056913852693
22,11264,30,373,743.3333333333334,210,0.2,3093.661814880371,0.0,-1.3759417925029993e-06,1387.1666666666667,1710.72802734375,0.0,5.125999450683594e-05,1e-06,-1.945905627310276
23,11776,30,391,743.3333333333334,220,0.2,582.7147409439087,2.712477e-08,-8.609384531155229e-06,1387.1666666666667,292.2597961425781,0.0,0.00016170740127563477,1e-06,-1.9459050476551056
24,12288,30,407,743.3333333333334,230,0.2,20.821741580963135,1.5716068e-08,-1.3663264689967037e-05,1387.1666666666667,8.293549537658691,0.0,5.364418029785156e-07,1e-06,-1.945904715359211
25,12800,30,423,977.5384615384615,240,0.2,370.1417016983032,1.6461127e-07,-3.0370408785529436e-05,1453.076923076923,141.36378479003906,0.0,-0.0001417398452758789,1e-06,-1.9459036588668823
26,13312,30,439,977.5384615384615,250,0.2,2996.519058227539,6.9849193e-10,-1.414113794453442e-05,1453.076923076923,1569.3238525390625,0.0,1.1444091796875e-05,1e-06,-1.9459019616246223
27,13824,30,456,901.8,260,0.2,2685.4260650634765,0.0,-6.769091123715043e-06,1408.5333333333333,1925.67236328125,0.0,7.444620132446289e-05,1e-06,-1.9459017917513848
28,14336,30,472,873.875,270,0.2,6535.803625488281,0.0,-1.3575190678238869e-06,1432.0625,3012.2138671875,0.0,-1.4185905456542969e-05,1e-06,-1.945901097357273
29,14848,30,487,873.875,280,0.2,6232.053527832031,0.0,-2.631492679938674e-06,1432.0625,2446.643310546875,0.0,2.5391578674316406e-05,1e-06,-1.9459009319543839
30,15360,30,501,893.8235294117648,290,0.2,2372.146276855469,0.0,-5.397544009611011e-06,1479.0588235294117,1093.9610595703125,0.0,1.9431114196777344e-05,1e-06,-1.9459008231759072
